ID;RegioS;Perioden;Mannen_2;Vrouwen_3;TotaalMetMigratieachtergrond_35;Bevolkingsdichtheid_57;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;TypeEenpersoonshuishouden_133;TypeEenoudergezin_134;TypePaarZonderKind_135;TypePaarMetKindEren_136;BronInkomenAlsWerknemer_137;BronInkomenAlsZelfstandige_138;Werkloosheid_155
14696;GM0123;2019JJ00;;;;;;;;;;;;;;;;
14722;GM0826;2017JJ00;26872;27732;10635;764;    58.5;    40.4;     1.1;    26.6;    24.1;    24.6;    23.9;    33.7;    33.8;    32.0;    42.4;1060
14723;GM0826;2018JJ00;27202;27945;10974;772;    58.0;    40.9;     1.1;    27.3;    24.4;    25.3;    24.7;    33.7;    34.0;    32.3;    43.0;930
14724;GM0826;2019JJ00;27439;28177;11274;778;    60.1;    39.5;     0.4;    27.4;    24.7;    26.5;    25.6;    36.2;    36.6;    33.8;    50.0;790
14750;GM0580;2017JJ00;;;;;;;;;;;;;;;;
14751;GM0580;2018JJ00;;;;;;;;;;;;;;;;
14752;GM0580;2019JJ00;;;;;;;;;;;;;;;;
14778;GM0085;2017JJ00;12777;12763;1710;114;    64.9;    35.0;     0.1;     7.3;    11.1;    22.5;    23.8;    29.9;    30.0;    29.1;    37.8;490
14779;GM0085;2018JJ00;12743;12716;1763;114;    65.7;    34.1;     0.2;     7.7;    11.1;    22.7;    23.9;    30.3;    30.7;    29.3;    40.6;410
14780;GM0085;2019JJ00;12800;12697;1776;114;    66.8;    33.0;     0.2;     8.5;    11.2;    23.8;    24.9;    31.8;    32.2;    30.7;    42.5;380
14806;GM0431;2017JJ00;4732;4920;1263;837;    65.2;    33.9;     0.9;     3.0;     4.0;    25.9;    26.8;    36.0;    37.3;    35.3;    42.3;150
14807;GM0431;2018JJ00;4789;4946;1316;845;    66.5;    32.6;     0.9;     3.1;     4.1;    26.6;    27.1;    35.9;    37.4;    35.5;    44.0;140
14808;GM0431;2019JJ00;4790;4967;1349;846;    67.3;    32.7;     0.0;     3.2;     4.1;    27.0;    28.3;    39.3;    41.5;    37.0;    54.8;100
14834;GM0176;2017JJ00;;;;;;;;;;;;;;;;
14835;GM0176;2018JJ00;;;;;;;;;;;;;;;;
14836;GM0176;2019JJ00;;;;;;;;;;;;;;;;
14862;GM0432;2017JJ00;5792;5628;846;275;    73.9;    25.0;     1.1;     4.1;     4.7;    24.6;    25.1;    32.4;    35.0;    31.7;    43.4;150
14863;GM0432;2018JJ00;5853;5673;917;278;    74.8;    24.2;     1.0;     4.6;     4.7;    25.5;    26.5;    31.4;    36.5;    32.1;    44.2;130
14864;GM0432;2019JJ00;5985;5794;1085;284;    76.0;    24.0;     0.0;     4.9;     4.9;    26.6;    27.1;    35.1;    39.4;    32.6;    52.5;100
14890;GM0086;2017JJ00;14879;14839;1804;132;    68.7;    28.2;     3.1;     8.2;    12.3;    23.9;    23.1;    31.7;    31.4;    30.2;    39.7;570
14891;GM0086;2018JJ00;14951;14802;1824;133;    69.1;    27.8;     3.1;     8.1;    12.4;    24.3;    24.6;    31.4;    32.2;    30.4;    42.6;440
14892;GM0086;2019JJ00;14950;14773;1878;132;    70.3;    29.5;     0.2;     8.8;    12.4;    26.6;    25.2;    33.9;    34.3;    31.7;    49.8;380
14918;GM0828;2017JJ00;45350;45026;15975;554;    62.1;    36.7;     1.2;    38.6;    39.0;    23.8;    23.7;    32.1;    33.4;    31.2;    41.7;1760
14919;GM0828;2018JJ00;45564;45387;16515;557;    62.8;    35.9;     1.3;    39.8;    39.4;    24.4;    24.3;    32.0;    33.9;    31.5;    43.4;1470
14920;GM0828;2019JJ00;45891;45560;17074;560;    63.0;    36.9;     0.1;    39.6;    39.7;    25.8;    25.6;    34.6;    36.8;    32.9;    48.7;1330
14946;GM0829;2017JJ00;;;;;;;;;;;;;;;;
14947;GM0829;2018JJ00;;;;;;;;;;;;;;;;
14948;GM0829;2019JJ00;;;;;;;;;;;;;;;;
14974;GM0831;2017JJ00;;;;;;;;;;;;;;;;
14975;GM0831;2018JJ00;;;;;;;;;;;;;;;;
14976;GM0831;2019JJ00;;;;;;;;;;;;;;;;
15002;GM0584;2017JJ00;11784;12231;2412;1282;    65.6;    34.1;     0.3;    10.5;    10.0;    25.7;    25.4;    37.1;    35.5;    34.2;    43.7;300
15003;GM0584;2018JJ00;11939;12362;2512;1298;    66.7;    32.9;     0.4;    10.6;    10.1;    26.1;    25.6;    35.5;    37.2;    34.5;    51.0;280
15004;GM0584;2019JJ00;;;;;;;;;;;;;;;;
15030;GM1509;2017JJ00;19866;19702;5256;290;    65.8;    32.5;     1.7;    14.8;    16.8;    22.7;    24.8;    29.8;    31.1;    29.8;    40.2;610
15031;GM1509;2018JJ00;19866;19654;5296;290;    65.9;    32.4;     1.7;    15.7;    16.9;    23.2;    24.0;    29.7;    31.4;    30.0;    41.3;450
15032;GM1509;2019JJ00;19851;19622;5368;290;    65.4;    34.4;     0.1;    16.2;    16.9;    24.2;    25.4;    32.4;    33.7;    31.3;    45.9;380
15058;GM0830;2017JJ00;;;;;;;;;;;;;;;;
15059;GM0830;2018JJ00;;;;;;;;;;;;;;;;
15060;GM0830;2019JJ00;;;;;;;;;;;;;;;;
15086;GM0437;2017JJ00;6554;6865;3309;557;    57.0;    42.7;     0.3;    15.3;     5.8;    29.1;    27.9;    42.3;    45.3;    39.6;    48.8;300
15087;GM0437;2018JJ00;6610;6886;3459;561;    57.6;    42.0;     0.4;    17.4;     5.9;    28.7;    28.9;    40.3;    45.5;    39.9;    49.0;260
15088;GM0437;2019JJ00;6802;7114;3741;578;    56.3;    43.6;     0.1;    18.4;     6.1;    31.0;    30.4;    47.5;    50.8;    40.7;    63.8;210
15114;GM0644;2017JJ00;;;;;;;;;;;;;;;;
15115;GM0644;2018JJ00;;;;;;;;;;;;;;;;
15116;GM0644;2019JJ00;;;;;;;;;;;;;;;;
15142;GM0589;2017JJ00;4989;5198;841;261;    68.7;    29.8;     1.5;     3.1;     4.2;    26.5;    25.1;    37.0;    39.2;    34.3;    43.4;120
15143;GM0589;2018JJ00;5001;5179;865;262;    69.5;    28.8;     1.7;     3.3;     4.2;    27.8;    25.3;    35.5;    44.0;    35.0;    55.2;90
15144;GM0589;2019JJ00;5018;5183;887;262;    69.2;    30.7;     0.2;     3.3;     4.2;    28.9;    27.2;    42.6;    47.6;    36.1;    68.7;80
